,NPP_ANNUAL,PoTemp_AnnSea,PoDens_AnnSea,Salinity_AnnSea,upVelo_AnnSea,VEddyDiff_AnnSea,ZonCur_AnnSea,ZonWindStr_AnnSea,MerCur_AnnSea,MerWindStr_AnnSea,SST_AnnSea,TotalHeat_AnnSea,Shortwave_AnnSea,NetUpwardWaterFlux_AnnSea,SeaSurfaceThermostericHeight_AnnSea,SeaSurfaceStericHeight_AnnSea,SSH_AnnSea,SSS_AnnSea,SurfaceSaltFlux_AnnSea,MLD_AnnSea,NetSurfaceHeatFlux_AnnSea,BaroclinicDynamicHeight_AnnSea,SurfacePressure_AnnSea,StratIndex_AnnSea
LABEL,Annual net primary production (gC $\text{year}^{-1}$),Annual potential temperature (K),Annual potential density (kg/m$^3$),Annual salinity (psu),Annual upward velocity (m/s),Annual vertical eddy diffusivity ($m2/s$),Annual zonal current (m/s),Annual zonal wind stress (N/m$^2$),Annual meridional current (m/s),Annual meridional wind stress (N/m$^2$),Annual sea surface temperature (K),Annual net downward total heat flux (W/m$^2$),Annual net downward shortwave flux (W/m$^2$),Annual net upward water flux (mm/s),Annual sea surface thermosteric height (m),Annual sea surface steric height (m),Annual sea surface height (m),Annual sea surface salinity (psu),Annual surface salt flux (Kg/m2/s),Annual mixed layer depth (m),Annual >net surface heat flux (W/m$^2$),Annual baroclinic dynamical height (m),Annual surface pressure (Pa),Annual stratification index (s$^{-1}$)
UNIT,g / yr,K,kg / m^3,,m/s,m^2 / s,m/s,N / m^2,m/s,N / m^2,K,W / m^2,W / m^2,mm/s,m,m,m,,kg/m^2/s,m,W / m^2,m,Pa,s^-1
RCP85_2075,23.97643741218427,286.2500542120804,1028.9751588083857,38.386621325629825,8.836333465711031e-07,0.2161430345114637,0.005758971297305784,0.017193334704002083,0.0030614439487477644,-0.03518626649603743,293.3419617578942,5.677154782892508,174.08819706707,2.703146001078926e-05,-36.959384032438024,0.28119767516567573,0.04624991930046792,37.53793728136072,0.0010163379454051354,24.754560466934734,3.2618663584456797,-36.01763488314825,582.4135204658855,3.631272966309639
RCP85_2076,27.989380668858058,286.25643443259224,1028.9804533640713,38.39355831605051,-2.212429118064929e-07,0.3587832653190902,0.004482565847894643,0.05229161212992675,0.0051469674267519226,-0.06285131902545349,292.6547517906966,-34.28664484322204,180.85717701204427,3.96011793894939e-05,-36.9627806399877,0.270144060997226,0.023943576057506778,37.704777908426635,0.0014936336109005607,35.638830910614736,-37.477645755193066,-36.03403762318637,527.5190893934589,3.4061858466940524
RCP85_2077,27.050751547056244,286.253239093568,1028.981165264992,38.39392040407013,1.420704109385409e-06,0.28135377348459734,0.00013652142134329848,0.036867010556732,0.004002780390066813,-0.05244687328078628,292.6097955230501,-19.96266914873107,169.5023597832483,2.5399361564525687e-05,-36.96097315550742,0.25003875002000764,0.015838239530494007,37.47985460179062,0.0009529398958116474,30.13025182212339,-22.07625101316456,-36.03451948845412,352.54517588545315,3.4054336777188983
RCP85_2078,28.25275580116992,286.2632820751953,1028.9762801034626,38.389172863659034,1.739146305683939e-06,0.3045969675050078,0.0051867007206893,0.04157339156839501,0.0014119900324800023,-0.07518278859030843,292.0113056650682,-29.805582255919273,180.9791803953791,3.9532759052571896e-05,-36.96358082703146,0.261449864208218,0.03012563295182468,37.52517421470081,0.001483437309943684,30.383414218183233,-32.79869767245598,-36.023167646422,727.1937136511348,3.513578647702957
RCP85_2079,29.689680588094983,286.21221606912917,1028.977799787001,38.384316937713706,1.515850839252851e-06,0.23139654047686165,0.004992251119064449,0.059326741162230745,0.0025103691548240626,-0.07087202404042299,292.31259563966864,-9.776870988510176,178.05070167959184,3.670149795016831e-05,-36.957509996856714,0.28091335047778143,0.04037876377573739,37.48120259711757,0.0013766611940123007,26.76389881866773,-12.675062709522745,-36.019146873742,542.1682941217448,3.611959314404629
RCP85_2080,32.38235140054391,286.20831281731563,1028.9918346640748,38.39829502799803,1.1600717852014043e-06,0.3291537061478602,0.006464151298762039,0.03943949573403231,0.004432373906969236,-0.0476804492286172,292.6294116155947,-3.8273585876655964,177.90134440926255,2.5738516496823812e-05,-36.97172233055466,0.2418407225647329,-0.00300517624607503,37.881638329101825,0.0009759225833593978,35.22553434053289,-5.919414479858904,-36.061184424020354,445.4481604647828,3.1977648163971675
RCP85_2081,27.909418013311797,286.21593008868626,1028.979989493625,38.39028526636468,2.647440175942438e-07,0.2842370810324478,0.004271741780413054,0.04648581489751892,0.00472376484967095,-0.06025632875225627,292.73443782395384,-20.054342924135153,176.74069343417813,3.285949534619352e-05,-36.94110473212949,0.27682635328576866,0.02575573917527784,37.75765342805299,0.0012412034618999302,30.615913721544644,-22.669311519904042,-36.020364986007216,387.8145879979512,3.494013255248764
RCP85_2082,28.8702060185856,286.2617832049608,1028.9703645451214,38.3883440880623,1.5680298444837902e-06,0.35709460277677757,0.0024931101635954807,0.05753539633466454,0.0033538102052927225,-0.06395073984278438,292.44989384343666,-30.62892769497195,178.32443393931547,3.743399910679831e-05,-36.92745392711214,0.31502442302350186,0.05065946200131219,37.55517491025199,0.0014047899465672664,37.09753345711276,-33.71235563359915,-35.99632620226238,204.50509302294734,3.7754644676200435
RCP85_2083,28.113257163255703,286.2731338985101,1028.9669008506646,38.38626848146067,1.6447194015157294e-06,0.31405117786895237,0.0027401780641632826,0.028748128178880786,0.002002459038832994,-0.060382166388045486,292.71665734573236,-5.1593964672319395,178.5446705928448,3.288351151991233e-05,-36.91977377794415,0.31856500071181443,0.05675439439936141,37.58949822509793,0.001236033932111267,33.169631076375964,-7.659010604142814,-35.98398515872762,670.6255407119742,3.858080914947105
RCP85_2084,30.700902979452746,286.28055634785864,1028.9735844760612,38.39454146364957,7.295423673504362e-07,0.28862810007894246,0.0027615881667774193,0.04901599318466343,0.002401153501163503,-0.06339161241823167,292.4502770390404,-10.54620133094766,181.8361517858999,3.8737892205765837e-05,-36.92960686964652,0.2901538416865884,0.03191427839095949,37.65775504906735,0.0014605788106098008,30.702259775781616,-13.608486898943184,-36.00780553935812,656.1424290860682,3.6704856288043577
RCP85_2085,27.612577863513422,286.3842081926305,1028.9573429229094,38.39622362016587,8.967139353162516e-07,0.2652390951065652,0.004504944475692269,0.04178479190494112,0.0026574715799915854,-0.052273304379297135,292.5702465467991,-8.32522538212852,176.0798039883728,3.657735901674575e-05,-36.902794042874085,0.3389360087704726,0.06770936918885682,37.46543265653675,0.0013700240656560252,29.036147842355234,-11.277404612851008,-35.97055159149107,653.256116847749,4.029251733062202
RCP85_2086,31.941146120915608,286.357369878142,1028.9708878322103,38.40487331343715,1.12567675474653e-06,0.26758861930793376,0.005418394121501998,0.05290262429581373,0.0041737014798294385,-0.0634800890092948,292.84843708002455,-24.068959105645064,174.7930113013482,3.5810801109776157e-05,-36.929722791103465,0.2922302686124126,0.02293168309909015,37.66047771555936,0.0013496762392242907,29.969529135448916,-26.96143334931484,-36.01400901283581,386.23313993463586,3.695129504278574
